                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
--------------- --------------- ------ ----- ------ ------------ ------- ------- ------- -------
compute-0-165   <various>           24    24      0  331gb/378gb   24/48     0/0     0/0 6941303,6941334,6941357,4075947,4075958,4075969,6941684,4075980,6941954,6941979,4075991,4076002,6942076,6942183,4076013,4076023,4076033,4076058,4076065,4076072,4076078,4076083,4076087,4076090
compute-0-164   <various>           24    24      0  332gb/378gb   24/48     0/0     0/0 4076118,8999398,4076120,4076121,4076098,8999399,4076095,4076099,4076100,4075918,4075926,4075934,4075942,4075953,4075964,4075975,9073032,4075986,4075997,4076008,4076018,4076028,4076040,4076048
compute-0-167   <various>           24    24      0  332gb/378gb   24/48     0/0     0/0 4076124,6941613,6941934,6941959,4076125,4076116,4076117,4075916,4075924,4075932,4076094,4075940,4075951,4075962,4075973,4075984,4075995,4076006,4076017,4076027,4076034,4076042,4076049,4076055
compute-0-166   <various>           24    24      0  332gb/378gb   24/48     0/0     0/0 6941360,4076113,4075989,6941686,6941809,4075921,4075929,4075937,6942133,4075945,4075956,4075967,4076131,4076000,4076011,4076021,4076031,4076035,4076043,4076050,4076056,4076063,4076070,4076077
compute-0-53    free                 2     2      0     1gb/71gb   10/12     0/0     0/0 4101034,3990354
compute-0-56    free                 2     2      0     1gb/71gb   10/12     0/0     0/0 3990353,4101076
compute-0-58    state-unknown        0     0      0    71gb/71gb   12/12     0/0     0/0 --
compute-0-45    free                11    11      0    52gb/71gb    1/12     0/0     0/0 4087058,4101077,4101039,4101012,4101093,4087064,4101044,4101085,4101063,4101096,4101016
tomerv.tau.ac.i free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-49    free                11    11      0    15gb/98gb    1/12     0/0     0/0 4101060,3988028,4101064,4101069,4101065,4100976,4101070,4101031,4101071,4101072,4101079
compute-0-47    free                10    10      0    56gb/71gb    2/12     0/0     0/0 4101078,4101097,4101013,4101080,4100990,4101088,4101040,4101045,4101081,4101050
compute-0-50    job-busy            12    12      0    53gb/71gb    0/12     0/0     0/0 4101057,4101082,4101084,4101095,4100994,4100995,4101024,4101098,4101007,4101099,4101091,4101100
compute-0-51    job-busy            12    12      0    50gb/71gb    0/12     0/0     0/0 4101083,4101014,4087239,4101042,4101073,4101051,4087242,4101052,4101054,4101055,4101056,4100966
compute-0-5     free                 0     0      0    35gb/35gb   12/12     0/0     0/0 --
compute-0-106   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 3417143
compute-0-114   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 3417144
compute-0-122   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 3691839
compute-0-123   state-unknown        0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-48    job-busy            12    12      0    53gb/71gb    0/12     0/0     0/0 4101038,4101058,4101043,4101009,4101067,4101011,4101087,4101017,4101089,4101074,4101021,4101094
compute-0-124   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 3691840
compute-0-110   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 4093787
compute-0-195   free                 0     0      0  126gb/126gb   20/20     0/0     0/0 --
compute-0-208   free                 0     0      0    62gb/62gb   28/28     0/0     0/0 --
compute-0-209   free                 0     0      0    62gb/62gb   28/28     0/0     0/0 --
compute-0-210   free                 0     0      0    62gb/62gb   28/28     0/0     0/0 --
compute-0-158   free                 2     2      0  378gb/378gb   10/12     0/0     0/0 2307252,2125269
compute-0-2     state-unknown        0     0      0    23gb/23gb   12/12     0/0     0/0 --
compute-0-216   free                 0     0      0    62gb/62gb   28/28     0/0     0/0 --
compute-0-59    free                 0     0      0    23gb/23gb   12/12     0/0     0/0 --
compute-0-190   free                 2     2      0    45gb/63gb    2/16     0/0     0/0 3165369,3889335
compute-0-66    free                 0     0      0    63gb/63gb   12/12     0/0     0/0 --
compute-0-23    free                 0     0      0      8gb/8gb     8/8     0/0     0/0 --
compute-0-181   free                 0     0      0    63gb/63gb   24/24     0/0     0/0 --
compute-0-46    job-busy            12    12      0    31gb/71gb    0/12     0/0     0/0 2587351,4087061,4101037,4101066,4100998,4101006,4101041,4087060,4100999,4101030,4101068,4101086
compute-0-117   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 4093788
compute-0-160   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-161   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-21    free                 0     0      0      8gb/8gb     8/8     0/0     0/0 --
compute-0-159   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
hpcssd          state-unknown        0     0      0      0kb/0kb   20/20     0/0     0/0 --
compute-0-213   free                 0     0      0  248gb/248gb   28/28     0/0     0/0 --
compute-0-126   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 3691939
compute-0-129   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 1117713
compute-0-130   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 1117714
compute-0-131   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 4093789
compute-0-127   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 3150259
compute-0-107   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 3694556
compute-0-211   free                 0     0      0  251gb/251gb   28/28     0/0     0/0 --
