Job id            Name             User              Time Use S Queue
----------------  ---------------- ----------------  -------- - -----
2718414.power8    SPR_for_ds       danaazouri        211:26:3 R itaym           
2797259.power8    complete_move_c  danaazouri        193:22:3 R itaym           
2843764.power8    collect_for_RF   danaazouri        189:28:4 R itaym           
3154051.power8    SPR_for_ds       danaazouri        117:14:2 R itaym           
3154055.power8    SPR_for_ds       danaazouri        109:40:1 R itaym           
3154110.power8    SPR_for_ds       danaazouri        117:58:4 R itaym           
3154114.power8    SPR_for_ds       danaazouri        118:55:1 R itaym           
3154127.power8    SPR_for_ds       danaazouri        117:15:0 R itaym           
3154163.power8    SPR_for_ds       danaazouri        112:06:5 R itaym           
3154209.power8    SPR_for_ds       danaazouri        118:07:3 R itaym           
3154217.power8    SPR_for_ds       danaazouri        117:09:5 R itaym           
3154227.power8    SPR_for_ds       danaazouri        119:40:0 R itaym           
3154276.power8    SPR_for_ds       danaazouri        116:44:2 R itaym           
3154301.power8    SPR_for_ds       danaazouri        117:50:0 R itaym           
3154304.power8    SPR_for_ds       danaazouri        119:46:2 R itaym           
3154372.power8    SPR_for_ds       danaazouri        117:06:4 R itaym           
3871421.power8    SPR_for_ds       danaazouri        23:55:52 R itaym           
3871427.power8    SPR_for_ds       danaazouri        24:33:11 R itaym           
3871430.power8    SPR_for_ds       danaazouri        25:19:01 R itaym           
3871433.power8    SPR_for_ds       danaazouri        24:55:00 R itaym           
3871455.power8    SPR_for_ds       danaazouri        24:40:30 R itaym           
3871458.power8    SPR_for_ds       danaazouri        20:43:18 R itaym           
3871481.power8    SPR_for_ds       danaazouri        24:40:12 R itaym           
3871491.power8    SPR_for_ds       danaazouri        24:54:56 R itaym           
3871494.power8    SPR_for_ds       danaazouri        21:27:53 R itaym           
3871499.power8    SPR_for_ds       danaazouri        24:51:50 R itaym           
3871506.power8    SPR_for_ds       danaazouri        22:29:29 R itaym           
3871508.power8    SPR_for_ds       danaazouri        22:40:56 R itaym           
3871511.power8    SPR_for_ds       danaazouri        24:38:23 R itaym           
3871512.power8    SPR_for_ds       danaazouri        24:09:18 R itaym           
3871513.power8    SPR_for_ds       danaazouri        25:38:15 R itaym           
3871515.power8    SPR_for_ds       danaazouri        24:31:41 R itaym           
3871516.power8    SPR_for_ds       danaazouri        23:08:55 R itaym           
3871517.power8    SPR_for_ds       danaazouri        22:10:39 R itaym           
3871518.power8    SPR_for_ds       danaazouri        23:22:04 R itaym           
3871520.power8    SPR_for_ds       danaazouri        23:12:20 R itaym           
3871522.power8    SPR_for_ds       danaazouri        22:26:22 R itaym           
3871523.power8    SPR_for_ds       danaazouri        22:56:34 R itaym           
3871526.power8    SPR_for_ds       danaazouri        22:28:39 R itaym           
3871527.power8    SPR_for_ds       danaazouri        24:11:15 R itaym           
3871528.power8    SPR_for_ds       danaazouri        21:42:59 R itaym           
3871529.power8    SPR_for_ds       danaazouri        19:40:31 R itaym           
3871533.power8    SPR_for_ds       danaazouri        24:29:49 R itaym           
3871534.power8    SPR_for_ds       danaazouri        24:30:24 R itaym           
3871535.power8    SPR_for_ds       danaazouri        22:39:58 R itaym           
3871536.power8    SPR_for_ds       danaazouri        25:14:23 R itaym           
3871538.power8    SPR_for_ds       danaazouri        26:20:50 R itaym           
3871539.power8    SPR_for_ds       danaazouri        23:09:01 R itaym           
3871540.power8    SPR_for_ds       danaazouri        19:46:23 R itaym           
3871542.power8    SPR_for_ds       danaazouri        22:13:02 R itaym           
3871545.power8    SPR_for_ds       danaazouri        25:28:42 R itaym           
3871546.power8    SPR_for_ds       danaazouri        22:31:50 R itaym           
3871547.power8    SPR_for_ds       danaazouri        25:40:41 R itaym           
3871549.power8    SPR_for_ds       danaazouri        24:37:10 R itaym           
3871551.power8    SPR_for_ds       danaazouri        23:24:01 R itaym           
3871553.power8    SPR_for_ds       danaazouri        25:19:09 R itaym           
3871554.power8    SPR_for_ds       danaazouri        22:51:03 R itaym           
3871555.power8    SPR_for_ds       danaazouri        23:26:03 R itaym           
3871556.power8    SPR_for_ds       danaazouri        22:37:11 R itaym           
3871558.power8    SPR_for_ds       danaazouri        22:21:47 R itaym           
3871559.power8    SPR_for_ds       danaazouri        22:49:42 R itaym           
3871563.power8    SPR_for_ds       danaazouri        23:41:26 R itaym           
3871564.power8    SPR_for_ds       danaazouri        23:07:39 R itaym           
3871565.power8    SPR_for_ds       danaazouri        22:20:18 R itaym           
3871567.power8    SPR_for_ds       danaazouri        23:17:56 R itaym           
3871569.power8    SPR_for_ds       danaazouri        24:31:47 R itaym           
3871572.power8    SPR_for_ds       danaazouri        25:01:54 R itaym           
3871574.power8    SPR_for_ds       danaazouri        24:22:26 R itaym           
3871575.power8    SPR_for_ds       danaazouri        19:57:53 R itaym           
3871577.power8    SPR_for_ds       danaazouri        22:34:06 R itaym           
3871581.power8    SPR_for_ds       danaazouri        23:25:38 R itaym           
3871583.power8    SPR_for_ds       danaazouri        25:23:56 R itaym           
3871584.power8    SPR_for_ds       danaazouri        20:27:01 R itaym           
3871586.power8    SPR_for_ds       danaazouri        24:28:38 R itaym           
3871588.power8    SPR_for_ds       danaazouri        23:55:42 R itaym           
3871592.power8    SPR_for_ds       danaazouri        22:30:27 R itaym           
3871593.power8    SPR_for_ds       danaazouri        24:27:56 R itaym           
3871596.power8    SPR_for_ds       danaazouri        21:46:31 R itaym           
3871597.power8    SPR_for_ds       danaazouri        25:54:02 R itaym           
3871602.power8    SPR_for_ds       danaazouri        23:30:10 R itaym           
3871604.power8    SPR_for_ds       danaazouri        23:38:00 R itaym           
3871605.power8    SPR_for_ds       danaazouri        25:47:22 R itaym           
3871606.power8    SPR_for_ds       danaazouri        22:46:00 R itaym           
3871607.power8    SPR_for_ds       danaazouri        24:08:09 R itaym           
3871609.power8    SPR_for_ds       danaazouri        25:35:43 R itaym           
3871611.power8    SPR_for_ds       danaazouri        22:09:51 R itaym           
3871613.power8    SPR_for_ds       danaazouri        22:38:42 R itaym           
3871615.power8    SPR_for_ds       danaazouri        20:23:23 R itaym           
3871616.power8    SPR_for_ds       danaazouri        23:43:37 R itaym           
3871618.power8    SPR_for_ds       danaazouri        25:02:54 R itaym           
3871619.power8    SPR_for_ds       danaazouri        22:43:43 R itaym           
3871620.power8    SPR_for_ds       danaazouri        22:54:34 R itaym           
3871622.power8    SPR_for_ds       danaazouri        21:07:50 R itaym           
3871626.power8    SPR_for_ds       danaazouri        23:37:03 R itaym           
3871630.power8    SPR_for_ds       danaazouri        22:37:03 R itaym           
3871631.power8    SPR_for_ds       danaazouri        22:30:32 R itaym           
3871632.power8    SPR_for_ds       danaazouri        21:51:33 R itaym           
3871639.power8    SPR_for_ds       danaazouri        24:04:23 R itaym           
3871640.power8    SPR_for_ds       danaazouri        24:15:31 R itaym           
3871642.power8    SPR_for_ds       danaazouri        26:23:17 R itaym           
3871643.power8    SPR_for_ds       danaazouri        20:29:03 R itaym           
3871645.power8    SPR_for_ds       danaazouri        23:26:44 R itaym           
3871647.power8    SPR_for_ds       danaazouri        25:35:12 R itaym           
3871653.power8    SPR_for_ds       danaazouri        24:32:22 R itaym           
3871654.power8    SPR_for_ds       danaazouri        24:15:18 R itaym           
3871655.power8    SPR_for_ds       danaazouri        22:34:26 R itaym           
3871656.power8    SPR_for_ds       danaazouri        22:28:42 R itaym           
3871657.power8    SPR_for_ds       danaazouri        23:30:04 R itaym           
3871658.power8    SPR_for_ds       danaazouri        25:31:54 R itaym           
3871660.power8    SPR_for_ds       danaazouri        20:30:30 R itaym           
3871661.power8    SPR_for_ds       danaazouri        24:31:44 R itaym           
3871664.power8    SPR_for_ds       danaazouri        22:39:27 R itaym           
3871666.power8    SPR_for_ds       danaazouri        21:57:35 R itaym           
3871670.power8    SPR_for_ds       danaazouri        22:50:39 R itaym           
3871671.power8    SPR_for_ds       danaazouri        24:15:53 R itaym           
3871672.power8    SPR_for_ds       danaazouri        25:38:16 R itaym           
3871675.power8    SPR_for_ds       danaazouri        23:22:13 R itaym           
3871678.power8    SPR_for_ds       danaazouri        24:30:54 R itaym           
3871679.power8    SPR_for_ds       danaazouri        22:37:28 R itaym           
3871682.power8    SPR_for_ds       danaazouri        25:30:41 R itaym           
3871683.power8    SPR_for_ds       danaazouri        25:02:34 R itaym           
3871685.power8    SPR_for_ds       danaazouri        23:23:00 R itaym           
3871687.power8    SPR_for_ds       danaazouri        24:51:57 R itaym           
3871690.power8    SPR_for_ds       danaazouri        23:49:07 R itaym           
3871694.power8    SPR_for_ds       danaazouri        25:20:04 R itaym           
3871695.power8    SPR_for_ds       danaazouri        26:14:07 R itaym           
3871697.power8    SPR_for_ds       danaazouri        25:22:45 R itaym           
3871698.power8    SPR_for_ds       danaazouri        21:21:11 R itaym           
3871700.power8    SPR_for_ds       danaazouri        21:09:14 R itaym           
3871701.power8    SPR_for_ds       danaazouri        24:51:58 R itaym           
3871702.power8    SPR_for_ds       danaazouri        26:18:43 R itaym           
3871703.power8    SPR_for_ds       danaazouri        21:46:28 R itaym           
3871705.power8    SPR_for_ds       danaazouri        21:56:58 R itaym           
3871706.power8    SPR_for_ds       danaazouri        25:49:51 R itaym           
3871707.power8    SPR_for_ds       danaazouri        23:25:45 R itaym           
3871708.power8    SPR_for_ds       danaazouri        22:28:59 R itaym           
3871710.power8    SPR_for_ds       danaazouri        24:41:21 R itaym           
3871711.power8    SPR_for_ds       danaazouri        23:15:48 R itaym           
3871712.power8    SPR_for_ds       danaazouri        23:59:05 R itaym           
3871718.power8    SPR_for_ds       danaazouri        24:42:02 R itaym           
3871720.power8    SPR_for_ds       danaazouri        21:11:14 R itaym           
3871722.power8    SPR_for_ds       danaazouri        25:26:37 R itaym           
3871723.power8    SPR_for_ds       danaazouri        23:03:13 R itaym           
3871724.power8    SPR_for_ds       danaazouri        22:12:52 R itaym           
3871727.power8    SPR_for_ds       danaazouri        25:32:14 R itaym           
3871728.power8    SPR_for_ds       danaazouri        22:05:27 R itaym           
3871729.power8    SPR_for_ds       danaazouri        23:49:02 R itaym           
3871731.power8    SPR_for_ds       danaazouri        21:49:58 R itaym           
3871732.power8    SPR_for_ds       danaazouri        19:50:19 R itaym           
3871733.power8    SPR_for_ds       danaazouri        23:49:54 R itaym           
3871734.power8    SPR_for_ds       danaazouri        19:54:53 R itaym           
3871736.power8    SPR_for_ds       danaazouri        24:54:24 R itaym           
3871740.power8    SPR_for_ds       danaazouri        23:29:23 R itaym           
3871741.power8    SPR_for_ds       danaazouri        21:10:53 R itaym           
3871745.power8    SPR_for_ds       danaazouri        24:39:36 R itaym           
3871746.power8    SPR_for_ds       danaazouri        22:54:17 R itaym           
3871747.power8    SPR_for_ds       danaazouri        22:16:51 R itaym           
3871748.power8    SPR_for_ds       danaazouri        25:41:02 R itaym           
3871750.power8    SPR_for_ds       danaazouri        25:27:38 R itaym           
3871751.power8    SPR_for_ds       danaazouri        24:06:22 R itaym           
3871755.power8    SPR_for_ds       danaazouri        26:16:30 R itaym           
3871758.power8    SPR_for_ds       danaazouri        21:35:38 R itaym           
3871760.power8    SPR_for_ds       danaazouri        24:06:38 R itaym           
3871761.power8    SPR_for_ds       danaazouri        23:54:59 R itaym           
3871764.power8    SPR_for_ds       danaazouri        22:28:36 R itaym           
3871765.power8    SPR_for_ds       danaazouri        23:46:06 R itaym           
3871769.power8    SPR_for_ds       danaazouri        24:22:36 R itaym           
3871770.power8    SPR_for_ds       danaazouri        23:16:40 R itaym           
3871771.power8    SPR_for_ds       danaazouri        24:28:20 R itaym           
3871772.power8    SPR_for_ds       danaazouri        22:47:26 R itaym           
3871774.power8    SPR_for_ds       danaazouri        22:42:05 R itaym           
3871776.power8    SPR_for_ds       danaazouri        24:53:32 R itaym           
3871777.power8    SPR_for_ds       danaazouri        20:52:08 R itaym           
3871780.power8    SPR_for_ds       danaazouri        23:26:42 R itaym           
3871782.power8    SPR_for_ds       danaazouri        22:46:42 R itaym           
3871787.power8    SPR_for_ds       danaazouri        24:32:59 R itaym           
3871795.power8    SPR_for_ds       danaazouri        25:13:22 R itaym           
3871799.power8    SPR_for_ds       danaazouri        20:57:35 R itaym           
3871802.power8    SPR_for_ds       danaazouri        22:28:54 R itaym           
3871805.power8    SPR_for_ds       danaazouri        22:04:05 R itaym           
3871808.power8    SPR_for_ds       danaazouri        24:20:36 R itaym           
3871811.power8    SPR_for_ds       danaazouri        22:24:33 R itaym           
3871813.power8    SPR_for_ds       danaazouri        22:12:10 R itaym           
3871828.power8    SPR_for_ds       danaazouri        24:17:21 R itaym           
3871834.power8    SPR_for_ds       danaazouri        23:08:43 R itaym           
3871836.power8    SPR_for_ds       danaazouri        21:11:23 R itaym           
3871839.power8    SPR_for_ds       danaazouri        23:19:26 R itaym           
3871846.power8    SPR_for_ds       danaazouri        25:07:56 R itaym           
3871851.power8    SPR_for_ds       danaazouri        25:28:47 R itaym           
3871853.power8    SPR_for_ds       danaazouri        24:37:16 R itaym           
7780038.power8    modelteller1578  bioseq            734:19:4 R lifesciweb      
3394987.power8    OTT-1580990830   bioseq            94:32:28 R lifesciweb      
3430121.power8    CLUMPAK_1581006  bioseq                   0 Q lifesciweb      
3884877.power8    OTT-1581241086   bioseq            24:59:18 R lifesciweb      
3891095.power8    OTT-1581243705   bioseq            22:31:43 R lifesciweb      
3912767.power8    chromevol_15812  bioseq            00:00:01 R lifesciweb      
3912866.power8    chrom_BASE_NUM   bioseq            21:52:56 R lifesciweb      
3912867.power8    chrom_BASE_NUM_  bioseq            21:52:57 R lifesciweb      
3912868.power8    chrom_CONST_RAT  bioseq            21:52:56 R lifesciweb      
3912869.power8    chrom_CONST_RAT  bioseq            21:52:58 R lifesciweb      
3912870.power8    chrom_CONST_RAT  bioseq            21:52:58 R lifesciweb      
3912871.power8    chrom_CONST_RAT  bioseq            21:52:58 R lifesciweb      
3917000.power8    chromevol_15812  bioseq            00:00:02 R lifesciweb      
3917734.power8    chrom_BASE_NUM   bioseq            21:19:28 R lifesciweb      
3917735.power8    chrom_BASE_NUM_  bioseq            21:19:04 R lifesciweb      
3917737.power8    chrom_CONST_RAT  bioseq            21:15:23 R lifesciweb      
